from,to
Blarina brevicauda,Sorex cinereus
Canis latrans,Alces alces
Canis latrans,Antilocapra americana
Canis latrans,Aplodontia rufa
Canis latrans,Blarina brevicauda
Canis latrans,Canis lupus
Canis latrans,Castor canadensis
Canis latrans,Cervus elaphus
Canis latrans,Didelphis virginiana
Canis latrans,Erethizon dorsatum
Canis latrans,Glaucomys sabrinus
Canis latrans,Ictidomys tridecemlineatus
Canis latrans,Lemmiscus curtatus
Canis latrans,Lepus americanus
Canis latrans,Lontra canadensis
Canis latrans,Lynx rufus
Canis latrans,Marmota caligata
Canis latrans,Marmota monax
Canis latrans,Martes americana
Canis latrans,Microtus montanus
Canis latrans,Microtus ochrogaster
Canis latrans,Microtus pennsylvanicus
Canis latrans,Mus musculus
Canis latrans,Mustela frenata
Canis latrans,Neurotrichus gibbsii
Canis latrans,Odocoileus hemionus
Canis latrans,Odocoileus virginianus
Canis latrans,Ondatra zibethicus
Canis latrans,Ovis dalli
Canis latrans,Perognathus fasciatus
Canis latrans,Perognathus parvus
Canis latrans,Peromyscus leucopus
Canis latrans,Peromyscus maniculatus
Canis latrans,Procyon lotor
Canis latrans,Rangifer tarandus
Canis latrans,Reithrodontomys megalotis
Canis latrans,Scalopus aquaticus
Canis latrans,Sciurus carolinensis
Canis latrans,Sciurus niger
Canis latrans,Sylvilagus floridanus
Canis latrans,Sylvilagus nuttallii
Canis latrans,Tamias minimus
Canis latrans,Tamias striatus
Canis latrans,Tamiasciurus hudsonicus
Canis latrans,Urocitellus columbianus
Canis latrans,Urocyon cinereoargenteus
Canis latrans,Vulpes vulpes
Canis latrans,Zapus hudsonius
Canis lupus,Alces alces
Canis lupus,Bison bison
Canis lupus,Canis latrans
Canis lupus,Castor canadensis
Canis lupus,Cervus elaphus
Canis lupus,Dama dama
Canis lupus,Erethizon dorsatum
Canis lupus,Lepus americanus
Canis lupus,Lepus arcticus
Canis lupus,Lepus europaeus
Canis lupus,Lontra canadensis
Canis lupus,Lynx canadensis
Canis lupus,Marmota broweri
Canis lupus,Marmota monax
Canis lupus,Mephitis mephitis
Canis lupus,Microtus xanthognathus
Canis lupus,Mus musculus
Canis lupus,Mustela erminea
Canis lupus,Mustela frenata
Canis lupus,Neovison vison
Canis lupus,Neurotrichus gibbsii
Canis lupus,Ochotona princeps
Canis lupus,Odocoileus virginianus
Canis lupus,Ondatra zibethicus
Canis lupus,Ovibos moschatus
Canis lupus,Parascalops breweri
Canis lupus,Peromyscus maniculatus
Canis lupus,Procyon lotor
Canis lupus,Puma concolor
Canis lupus,Rangifer tarandus
Canis lupus,Sciurus carolinensis
Canis lupus,Sylvilagus floridanus
Canis lupus,Sylvilagus nuttallii
Canis lupus,Tamias amoenus
Canis lupus,Tamias striatus
Canis lupus,Tamiasciurus hudsonicus
Canis lupus,Thomomys talpoides
Canis lupus,Urocitellus columbianus
Canis lupus,Ursus americanus
Canis lupus,Vulpes vulpes
Canis rufus,Odocoileus virginianus
Canis rufus,Ondatra zibethicus
Canis rufus,Procyon lotor
Didelphis virginiana,Odocoileus virginianus
Didelphis virginiana,Parascalops breweri
Didelphis virginiana,Sciurus niger
Gulo gulo,Alces alces
Gulo gulo,Castor canadensis
Gulo gulo,Cervus elaphus
Gulo gulo,Erethizon dorsatum
Gulo gulo,Lepus americanus
Gulo gulo,Marmota broweri
Gulo gulo,Marmota caligata
Gulo gulo,Odocoileus hemionus
Gulo gulo,Oreamnos americanus
Gulo gulo,Rangifer tarandus
Gulo gulo,Vulpes vulpes
Lontra canadensis,Ondatra zibethicus
Lynx canadensis,Canis latrans
Lynx canadensis,Castor canadensis
Lynx canadensis,Glaucomys sabrinus
Lynx canadensis,Glaucomys volans
Lynx canadensis,Lepus americanus
Lynx canadensis,Mustela nivalis
Lynx canadensis,Odocoileus virginianus
Lynx canadensis,Sciurus carolinensis
Lynx canadensis,Tamiasciurus hudsonicus
Lynx rufus,Alces alces
Lynx rufus,Aplodontia rufa
Lynx rufus,Castor canadensis
Lynx rufus,Cervus elaphus
Lynx rufus,Condylura cristata
Lynx rufus,Cryptotis parva
Lynx rufus,Cynomys ludovicianus
Lynx rufus,Didelphis virginiana
Lynx rufus,Erethizon dorsatum
Lynx rufus,Glaucomys sabrinus
Lynx rufus,Glaucomys volans
Lynx rufus,Lemmiscus curtatus
Lynx rufus,Lepus americanus
Lynx rufus,Lontra canadensis
Lynx rufus,Marmota monax
Lynx rufus,Mephitis mephitis
Lynx rufus,Microtus ochrogaster
Lynx rufus,Microtus pennsylvanicus
Lynx rufus,Myodes gapperi
Lynx rufus,Neotoma cinerea
Lynx rufus,Odocoileus hemionus
Lynx rufus,Odocoileus virginianus
Lynx rufus,Ondatra zibethicus
Lynx rufus,Perognathus parvus
Lynx rufus,Peromyscus leucopus
Lynx rufus,Peromyscus maniculatus
Lynx rufus,Procyon lotor
Lynx rufus,Sciurus carolinensis
Lynx rufus,Sciurus niger
Lynx rufus,Sylvilagus floridanus
Lynx rufus,Sylvilagus nuttallii
Lynx rufus,Tamias striatus
Lynx rufus,Tamiasciurus douglasii
Lynx rufus,Tamiasciurus hudsonicus
Lynx rufus,Thomomys talpoides
Lynx rufus,Urocyon cinereoargenteus
Lynx rufus,Zapus princeps
Lynx rufus,Zapus trinotatus
Martes americana,Alces alces
Martes americana,Castor canadensis
Martes americana,Corynorhinus townsendii
Martes americana,Erethizon dorsatum
Martes americana,Glaucomys sabrinus
Martes americana,Lepus americanus
Martes americana,Lynx rufus
Martes americana,Marmota monax
Martes americana,Microtus longicaudus
Martes americana,Microtus oeconomus
Martes americana,Microtus pennsylvanicus
Martes americana,Microtus townsendii
Martes americana,Microtus xanthognathus
Martes americana,Mus musculus
Martes americana,Myodes gapperi
Martes americana,Neotoma cinerea
Martes americana,Odocoileus hemionus
Martes americana,Odocoileus virginianus
Martes americana,Ondatra zibethicus
Martes americana,Peromyscus maniculatus
Martes americana,Phenacomys intermedius
Martes americana,Rangifer tarandus
Martes americana,Scapanus orarius
Martes americana,Sorex arcticus
Martes americana,Sorex cinereus
Martes americana,Sorex hoyi
Martes americana,Sylvilagus floridanus
Martes americana,Sylvilagus nuttallii
Martes americana,Synaptomys borealis
Martes americana,Tamias striatus
Martes americana,Tamiasciurus hudsonicus
Martes americana,Thomomys talpoides
Martes pennanti,Alces alces
Martes pennanti,Blarina brevicauda
Martes pennanti,Canis latrans
Martes pennanti,Castor canadensis
Martes pennanti,Didelphis virginiana
Martes pennanti,Erethizon dorsatum
Martes pennanti,Glaucomys sabrinus
Martes pennanti,Lasionycteris noctivagans
Martes pennanti,Lepus americanus
Martes pennanti,Marmota monax
Martes pennanti,Martes americana
Martes pennanti,Mephitis mephitis
Martes pennanti,Microtus pennsylvanicus
Martes pennanti,Microtus pinetorum
Martes pennanti,Myodes gapperi
Martes pennanti,Neotoma cinerea
Martes pennanti,Neovison vison
Martes pennanti,Odocoileus virginianus
Martes pennanti,Ondatra zibethicus
Martes pennanti,Peromyscus maniculatus
Martes pennanti,Procyon lotor
Martes pennanti,Sciurus carolinensis
Martes pennanti,Sorex cinereus
Martes pennanti,Spilogale putorius
Martes pennanti,Tamias striatus
Martes pennanti,Tamiasciurus douglasii
Martes pennanti,Tamiasciurus hudsonicus
Martes pennanti,Vulpes vulpes
Martes pennanti,Zapus hudsonius
Mustela erminea,Microtus longicaudus
Mustela erminea,Microtus oeconomus
Mustela erminea,Microtus xanthognathus
Mustela erminea,Mus musculus
Mustela erminea,Mustela nivalis
Mustela erminea,Ochotona princeps
Mustela erminea,Sciurus carolinensis
Mustela erminea,Tamias striatus
Mustela frenata,Microtus longicaudus
Mustela frenata,Sylvilagus floridanus
Mustela nivalis,Microtus xanthognathus
Mustela nivalis,Mus musculus
Mustela nivalis,Sciurus carolinensis
Neovison vison,Lepus europaeus
Neovison vison,Microtus oeconomus
Neovison vison,Mus musculus
Neovison vison,Ondatra zibethicus
Neovison vison,Sciurus carolinensis
Procyon lotor,Eptesicus fuscus
Procyon lotor,Glaucomys volans
Procyon lotor,Neurotrichus gibbsii
Procyon lotor,Odocoileus virginianus
Procyon lotor,Ondatra zibethicus
Procyon lotor,Sylvilagus floridanus
Procyon lotor,Urocyon cinereoargenteus
Procyon lotor,Zapus princeps
Puma concolor,Alces alces
Puma concolor,Aplodontia rufa
Puma concolor,Canis latrans
Puma concolor,Castor canadensis
Puma concolor,Cervus elaphus
Puma concolor,Didelphis virginiana
Puma concolor,Erethizon dorsatum
Puma concolor,Lepus americanus
Puma concolor,Lepus europaeus
Puma concolor,Lynx rufus
Puma concolor,Marmota flaviventris
Puma concolor,Mus musculus
Puma concolor,Mustela frenata
Puma concolor,Odocoileus hemionus
Puma concolor,Odocoileus virginianus
Puma concolor,Ondatra zibethicus
Puma concolor,Ovis canadensis
Puma concolor,Procyon lotor
Puma concolor,Spilogale putorius
Puma concolor,Sylvilagus floridanus
Puma concolor,Taxidea taxus
Puma concolor,Urocyon cinereoargenteus
Puma concolor,Ursus americanus
Puma concolor,Vulpes vulpes
Spilogale putorius,Peromyscus maniculatus
Taxidea taxus,Geomys bursarius
Taxidea taxus,Ictidomys tridecemlineatus
Taxidea taxus,Lemmiscus curtatus
Taxidea taxus,Lepus townsendii
Taxidea taxus,Myodes gapperi
Taxidea taxus,Thomomys talpoides
Taxidea taxus,Urocitellus columbianus
Taxidea taxus,Zapus hudsonius
Urocyon cinereoargenteus,Canis latrans
Urocyon cinereoargenteus,Didelphis virginiana
Urocyon cinereoargenteus,Microtus ochrogaster
Urocyon cinereoargenteus,Neurotrichus gibbsii
Urocyon cinereoargenteus,Reithrodontomys megalotis
Urocyon cinereoargenteus,Tamias striatus
Urocyon cinereoargenteus,Thomomys talpoides
Urocyon cinereoargenteus,Zapus princeps
Ursus americanus,Alces alces
Ursus americanus,Cervus elaphus
Ursus americanus,Microtus xanthognathus
Ursus americanus,Rangifer tarandus
Ursus arctos,Alces alces
Ursus arctos,Antilocapra americana
Ursus arctos,Bison bison
Ursus arctos,Canis latrans
Ursus arctos,Canis lupus
Ursus arctos,Castor canadensis
Ursus arctos,Cervus elaphus
Ursus arctos,Erethizon dorsatum
Ursus arctos,Marmota broweri
Ursus arctos,Marmota caligata
Ursus arctos,Marmota flaviventris
Ursus arctos,Microtus montanus
Ursus arctos,Microtus pennsylvanicus
Ursus arctos,Mustela nivalis
Ursus arctos,Ochotona princeps
Ursus arctos,Odocoileus hemionus
Ursus arctos,Odocoileus virginianus
Ursus arctos,Ondatra zibethicus
Ursus arctos,Oreamnos americanus
Ursus arctos,Ovis canadensis
Ursus arctos,Peromyscus maniculatus
Ursus arctos,Rangifer tarandus
Ursus arctos,Tamias minimus
Ursus arctos,Tamiasciurus hudsonicus
Ursus arctos,Thomomys talpoides
Ursus arctos,Urocitellus parryii
Ursus arctos,Ursus americanus
Ursus arctos,Vulpes vulpes
Ursus maritimus,Delphinapterus leucas
Ursus maritimus,Microtus pennsylvanicus
Ursus maritimus,Monodon monoceros
Ursus maritimus,Ondatra zibethicus
Ursus maritimus,Rangifer tarandus
Vulpes lagopus,Lepus arcticus
Vulpes velox,Cynomys ludovicianus
Vulpes velox,Dipodomys ordii
Vulpes velox,Geomys bursarius
Vulpes velox,Mephitis mephitis
Vulpes velox,Microtus ochrogaster
Vulpes velox,Mus musculus
Vulpes velox,Mustela frenata
Vulpes velox,Neurotrichus gibbsii
Vulpes velox,Onychomys leucogaster
Vulpes velox,Reithrodontomys megalotis
Vulpes velox,Thomomys talpoides
Vulpes velox,Zapus hudsonius
Vulpes velox,Zapus princeps
Vulpes vulpes,Alces alces
Vulpes vulpes,Blarina brevicauda
Vulpes vulpes,Cervus elaphus
Vulpes vulpes,Cynomys ludovicianus
Vulpes vulpes,Didelphis virginiana
Vulpes vulpes,Erethizon dorsatum
Vulpes vulpes,Lepus americanus
Vulpes vulpes,Lepus europaeus
Vulpes vulpes,Mephitis mephitis
Vulpes vulpes,Microtus ochrogaster
Vulpes vulpes,Microtus oeconomus
Vulpes vulpes,Microtus pennsylvanicus
Vulpes vulpes,Microtus xanthognathus
Vulpes vulpes,Mus musculus
Vulpes vulpes,Mustela nivalis
Vulpes vulpes,Neovison vison
Vulpes vulpes,Neurotrichus gibbsii
Vulpes vulpes,Odocoileus virginianus
Vulpes vulpes,Ondatra zibethicus
Vulpes vulpes,Ovis dalli
Vulpes vulpes,Parascalops breweri
Vulpes vulpes,Peromyscus leucopus
Vulpes vulpes,Peromyscus maniculatus
Vulpes vulpes,Procyon lotor
Vulpes vulpes,Rangifer tarandus
Vulpes vulpes,Reithrodontomys megalotis
Vulpes vulpes,Sciurus carolinensis
Vulpes vulpes,Sciurus niger
Vulpes vulpes,Sorex cinereus
Vulpes vulpes,Sylvilagus floridanus
Vulpes vulpes,Tamias striatus
Vulpes vulpes,Tamiasciurus hudsonicus
Vulpes vulpes,Thomomys talpoides
Vulpes vulpes,Zapus princeps
